exp_id,scenario,concurrency,edit_rate,offline_duration,p50_latency_ms,p95_latency_ms,conflict_rate,override_rate,rollback_rate,simulation,live
b2.2,disjoint_edits,1,10,0,0.045,0.099,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,0,0.027,0.095,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,0,0.024,0.116,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,20,10,0,0.034,0.596,0.03,0.03,0.0,False,True
b2.2,disjoint_edits,1,10,3600,0.028,0.131,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,3600,0.025,0.245,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,3600,0.024,0.087,0.06,0.06,0.0,False,True
b2.2,disjoint_edits,20,10,3600,0.024,0.257,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,1,10,21600,0.03,0.115,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,21600,0.027,0.144,0.06666666666666667,0.0667,0.0,False,True
b2.2,disjoint_edits,10,10,21600,0.024,0.145,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,20,10,21600,0.025,0.132,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,1,10,86400,0.059,0.128,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,86400,0.026,0.089,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,86400,0.025,0.288,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,20,10,86400,0.025,0.347,0.04,0.04,0.0,False,True
b2.2,disjoint_edits,1,30,0,0.024,0.092,0.4,0.1333,0.0,False,True
b2.2,disjoint_edits,3,30,0,0.058,0.819,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,30,0,0.026,0.266,0.06,0.02,0.0,False,True
b2.2,disjoint_edits,20,30,0,0.024,0.107,0.09,0.03,0.0,False,True
b2.2,disjoint_edits,1,30,3600,0.027,0.088,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,3600,0.055,0.462,0.06666666666666667,0.0222,0.0,False,True
b2.2,disjoint_edits,10,30,3600,0.024,0.09,0.06,0.02,0.0,False,True
b2.2,disjoint_edits,20,30,3600,0.024,0.093,0.05,0.0167,0.0,False,True
b2.2,disjoint_edits,1,30,21600,0.026,0.094,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,21600,0.023,0.938,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,30,21600,0.024,0.087,0.1,0.0333,0.0,False,True
b2.2,disjoint_edits,20,30,21600,0.024,0.153,0.05,0.0167,0.0,False,True
b2.2,disjoint_edits,1,30,86400,0.024,0.119,0.2,0.0667,0.0,False,True
b2.2,disjoint_edits,3,30,86400,0.024,0.194,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,30,86400,0.023,0.09,0.04,0.0133,0.0,False,True
b2.2,disjoint_edits,20,30,86400,0.024,0.127,0.09,0.03,0.0,False,True
b2.2,same_wall_edits,1,10,0,0.026,0.103,0.0,0.0,0.0,False,True
b2.2,same_wall_edits,3,10,0,0.026,0.086,0.13333333333333333,0.1333,0.0,False,True
b2.2,same_wall_edits,10,10,0,0.023,0.09,0.18,0.18,0.0,False,True
b2.2,same_wall_edits,20,10,0,0.025,0.249,0.16,0.16,0.0,False,True
b2.2,same_wall_edits,1,10,3600,0.075,0.151,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,3,10,3600,0.027,0.095,0.13333333333333333,0.1333,0.0,False,True
b2.2,same_wall_edits,10,10,3600,0.025,0.172,0.08,0.08,0.0,False,True
b2.2,same_wall_edits,20,10,3600,0.026,0.105,0.14,0.14,0.0,False,True
b2.2,same_wall_edits,1,10,21600,0.03,0.09,0.0,0.0,0.0,False,True
b2.2,same_wall_edits,3,10,21600,0.026,0.1,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,10,10,21600,0.025,0.108,0.12,0.12,0.0,False,True
b2.2,same_wall_edits,20,10,21600,0.026,0.131,0.17,0.17,0.0,False,True
b2.2,same_wall_edits,1,10,86400,0.032,0.102,0.0,0.0,0.0,False,True
b2.2,same_wall_edits,3,10,86400,0.025,0.132,0.13333333333333333,0.1333,0.0,False,True
b2.2,same_wall_edits,10,10,86400,0.027,0.16,0.18,0.18,0.0,False,True
b2.2,same_wall_edits,20,10,86400,0.036,0.383,0.15,0.15,0.0,False,True
b2.2,same_wall_edits,1,30,0,0.025,0.087,0.2,0.0667,0.0,False,True
b2.2,same_wall_edits,3,30,0,0.025,0.118,0.2,0.0667,0.0,False,True
b2.2,same_wall_edits,10,30,0,0.025,0.12,0.44,0.1467,0.0,False,True
b2.2,same_wall_edits,20,30,0,0.024,0.128,0.42,0.14,0.0,False,True
b2.2,same_wall_edits,1,30,3600,0.034,0.213,0.2,0.0667,0.0,False,True
b2.2,same_wall_edits,3,30,3600,0.028,0.233,0.4666666666666667,0.1556,0.0,False,True
b2.2,same_wall_edits,10,30,3600,0.024,0.096,0.5,0.1667,0.0,False,True
b2.2,same_wall_edits,20,30,3600,0.025,0.107,0.43,0.1433,0.0,False,True
b2.2,same_wall_edits,1,30,21600,0.025,0.096,0.8,0.2667,0.0,False,True
b2.2,same_wall_edits,3,30,21600,0.052,0.132,0.3333333333333333,0.1111,0.0,False,True
b2.2,same_wall_edits,10,30,21600,0.023,0.1,0.52,0.1733,0.0,False,True
b2.2,same_wall_edits,20,30,21600,0.024,0.166,0.54,0.18,0.0,False,True
b2.2,same_wall_edits,1,30,86400,0.027,0.258,1.0,0.3333,0.0,False,True
b2.2,same_wall_edits,3,30,86400,0.026,0.2,0.6,0.2,0.0,False,True
b2.2,same_wall_edits,10,30,86400,0.024,0.113,0.44,0.1467,0.0,False,True
b2.2,same_wall_edits,20,30,86400,0.024,0.105,0.55,0.1833,0.0,False,True
b2.2,host_collision,1,10,0,0.036,0.119,0.4,0.4,0.0,False,True
b2.2,host_collision,3,10,0,0.025,0.09,0.3333333333333333,0.3333,0.0,False,True
b2.2,host_collision,10,10,0,0.025,0.458,0.32,0.32,0.0,False,True
b2.2,host_collision,20,10,0,0.025,0.196,0.23,0.23,0.0,False,True
b2.2,host_collision,1,10,3600,0.026,0.098,0.4,0.4,0.0,False,True
b2.2,host_collision,3,10,3600,0.03,0.094,0.13333333333333333,0.1333,0.0,False,True
b2.2,host_collision,10,10,3600,0.024,0.092,0.22,0.22,0.0,False,True
b2.2,host_collision,20,10,3600,0.028,0.295,0.26,0.26,0.0,False,True
b2.2,host_collision,1,10,21600,0.027,0.124,0.2,0.2,0.0,False,True
b2.2,host_collision,3,10,21600,0.027,0.095,0.3333333333333333,0.3333,0.0,False,True
b2.2,host_collision,10,10,21600,0.024,0.098,0.24,0.24,0.0,False,True
b2.2,host_collision,20,10,21600,0.025,0.138,0.2,0.2,0.0,False,True
b2.2,host_collision,1,10,86400,0.032,0.099,0.4,0.4,0.0,False,True
b2.2,host_collision,3,10,86400,0.028,0.088,0.3333333333333333,0.3333,0.0,False,True
b2.2,host_collision,10,10,86400,0.025,1.066,0.2,0.2,0.0,False,True
b2.2,host_collision,20,10,86400,0.027,0.385,0.26,0.26,0.0,False,True
b2.2,host_collision,1,30,0,0.055,0.115,0.6,0.2,0.0,False,True
b2.2,host_collision,3,30,0,0.024,0.1,0.8,0.2667,0.0,False,True
b2.2,host_collision,10,30,0,0.027,0.638,0.78,0.26,0.0,False,True
b2.2,host_collision,20,30,0,0.023,0.107,0.67,0.2233,0.0,False,True
b2.2,host_collision,1,30,3600,0.024,0.09,1.0,0.3333,0.0,False,True
b2.2,host_collision,3,30,3600,0.024,0.264,0.6,0.2,0.0,False,True
b2.2,host_collision,10,30,3600,0.025,0.114,0.7,0.2333,0.0,False,True
b2.2,host_collision,20,30,3600,0.025,0.28,0.67,0.2233,0.0,False,True
b2.2,host_collision,1,30,21600,0.029,0.099,0.8,0.2667,0.0,False,True
b2.2,host_collision,3,30,21600,0.038,0.104,0.9333333333333333,0.3111,0.0,False,True
b2.2,host_collision,10,30,21600,0.024,0.11,0.86,0.2867,0.0,False,True
b2.2,host_collision,20,30,21600,0.024,0.077,0.73,0.2433,0.0,False,True
b2.2,host_collision,1,30,86400,0.026,0.09,0.4,0.1333,0.0,False,True
b2.2,host_collision,3,30,86400,0.025,0.268,0.6666666666666666,0.2222,0.0,False,True
b2.2,host_collision,10,30,86400,0.024,0.3,1.02,0.34,0.0,False,True
b2.2,host_collision,20,30,86400,0.024,0.103,0.74,0.2467,0.0,False,True
