exp_id,total_elements,affected_elements,op_id,regen_ms,tvc_ms,validation_ms,rollback,simulation,live
b2.1,10000,1,live_10000_1_0,0.002,0.07,0,False,False,True
b2.1,10000,1,live_10000_1_1,0.002,0.121,0,False,False,True
b2.1,10000,1,live_10000_1_2,0.002,0.082,0,False,False,True
b2.1,10000,1,live_10000_1_3,0.002,0.063,0,False,False,True
b2.1,10000,1,live_10000_1_4,0.003,0.177,0,False,False,True
b2.1,10000,1,live_10000_1_5,0.002,0.089,0,False,False,True
b2.1,10000,1,live_10000_1_6,0.003,0.073,0,False,False,True
b2.1,10000,1,live_10000_1_7,0.002,0.068,0,False,False,True
b2.1,10000,1,live_10000_1_8,0.002,0.077,0,False,False,True
b2.1,10000,1,live_10000_1_9,0.002,0.077,0,False,False,True
b2.1,10000,10,live_10000_10_0,0.003,0.081,0,False,False,True
b2.1,10000,10,live_10000_10_1,0.003,0.089,0,False,False,True
b2.1,10000,10,live_10000_10_2,0.002,0.07,0,False,False,True
b2.1,10000,10,live_10000_10_3,0.003,0.141,0,False,False,True
b2.1,10000,10,live_10000_10_4,0.002,0.079,0,False,False,True
b2.1,10000,10,live_10000_10_5,0.002,0.067,0,False,False,True
b2.1,10000,10,live_10000_10_6,0.003,0.165,0,False,False,True
b2.1,10000,10,live_10000_10_7,0.002,0.077,0,False,False,True
b2.1,10000,10,live_10000_10_8,0.003,0.087,0,False,False,True
b2.1,10000,10,live_10000_10_9,0.002,0.091,0,False,False,True
b2.1,10000,100,live_10000_100_0,0.008,0.093,0,False,False,True
b2.1,10000,100,live_10000_100_1,0.008,0.072,0,False,False,True
b2.1,10000,100,live_10000_100_2,0.008,0.091,0,False,False,True
b2.1,10000,100,live_10000_100_3,0.01,0.09,0,False,False,True
b2.1,10000,100,live_10000_100_4,0.008,0.081,0,False,False,True
b2.1,10000,100,live_10000_100_5,0.01,0.075,0,False,False,True
b2.1,10000,100,live_10000_100_6,0.009,0.092,0,False,False,True
b2.1,10000,100,live_10000_100_7,0.008,0.072,0,False,False,True
b2.1,10000,100,live_10000_100_8,0.008,0.072,0,False,False,True
b2.1,10000,100,live_10000_100_9,0.009,0.078,0,False,False,True
