exp_id,scenario,concurrency,edit_rate,offline_duration,p50_latency_ms,p95_latency_ms,conflict_rate,override_rate,rollback_rate,simulation,live
b2.2,disjoint_edits,1,10,0,0.025,0.092,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,0,0.025,0.087,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,0,0.023,0.091,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,20,10,0,0.023,0.122,0.01,0.01,0.0,False,True
b2.2,disjoint_edits,1,10,3600,0.035,0.107,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,3600,0.024,0.149,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,3600,0.039,0.28,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,20,10,3600,0.024,0.179,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,1,10,21600,0.03,0.08,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,21600,0.023,0.139,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,21600,0.022,0.232,0.04,0.04,0.0,False,True
b2.2,disjoint_edits,20,10,21600,0.022,0.151,0.04,0.04,0.0,False,True
b2.2,disjoint_edits,1,10,86400,0.026,0.111,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,86400,0.026,0.083,0.13333333333333333,0.1333,0.0,False,True
b2.2,disjoint_edits,10,10,86400,0.023,0.995,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,20,10,86400,0.035,0.308,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,1,30,0,0.029,0.114,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,0,0.023,0.098,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,30,0,0.022,0.122,0.1,0.0333,0.0,False,True
b2.2,disjoint_edits,20,30,0,0.022,0.087,0.03,0.01,0.0,False,True
b2.2,disjoint_edits,1,30,3600,0.034,0.213,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,3600,0.022,0.154,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,30,3600,0.022,0.098,0.04,0.0133,0.0,False,True
b2.2,disjoint_edits,20,30,3600,0.022,0.105,0.02,0.0067,0.0,False,True
b2.2,disjoint_edits,1,30,21600,0.023,0.083,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,21600,0.022,0.084,0.06666666666666667,0.0222,0.0,False,True
b2.2,disjoint_edits,10,30,21600,0.023,0.122,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,20,30,21600,0.024,0.119,0.09,0.03,0.0,False,True
b2.2,disjoint_edits,1,30,86400,0.023,0.082,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,86400,0.022,0.129,0.06666666666666667,0.0222,0.0,False,True
b2.2,disjoint_edits,10,30,86400,0.021,0.103,0.08,0.0267,0.0,False,True
b2.2,disjoint_edits,20,30,86400,0.022,0.132,0.09,0.03,0.0,False,True
b2.2,same_wall_edits,1,10,0,0.041,0.103,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,3,10,0,0.023,0.085,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,10,10,0,0.022,0.086,0.16,0.16,0.0,False,True
b2.2,same_wall_edits,20,10,0,0.025,1.842,0.15,0.15,0.0,False,True
b2.2,same_wall_edits,1,10,3600,0.024,0.117,0.0,0.0,0.0,False,True
b2.2,same_wall_edits,3,10,3600,0.026,0.081,0.26666666666666666,0.2667,0.0,False,True
b2.2,same_wall_edits,10,10,3600,0.023,0.206,0.16,0.16,0.0,False,True
b2.2,same_wall_edits,20,10,3600,0.024,0.212,0.12,0.12,0.0,False,True
b2.2,same_wall_edits,1,10,21600,0.024,0.111,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,3,10,21600,0.025,0.085,0.13333333333333333,0.1333,0.0,False,True
b2.2,same_wall_edits,10,10,21600,0.046,0.098,0.18,0.18,0.0,False,True
b2.2,same_wall_edits,20,10,21600,0.022,0.151,0.11,0.11,0.0,False,True
b2.2,same_wall_edits,1,10,86400,0.023,0.119,0.0,0.0,0.0,False,True
b2.2,same_wall_edits,3,10,86400,0.028,0.087,0.06666666666666667,0.0667,0.0,False,True
b2.2,same_wall_edits,10,10,86400,0.023,0.209,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,20,10,86400,0.032,0.381,0.15,0.15,0.0,False,True
b2.2,same_wall_edits,1,30,0,0.022,0.087,0.8,0.2667,0.0,False,True
b2.2,same_wall_edits,3,30,0,0.023,0.175,0.5333333333333333,0.1778,0.0,False,True
b2.2,same_wall_edits,10,30,0,0.036,0.154,0.46,0.1533,0.0,False,True
b2.2,same_wall_edits,20,30,0,0.022,0.076,0.5,0.1667,0.0,False,True
b2.2,same_wall_edits,1,30,3600,0.022,0.083,0.4,0.1333,0.0,False,True
b2.2,same_wall_edits,3,30,3600,0.051,0.16,0.3333333333333333,0.1111,0.0,False,True
b2.2,same_wall_edits,10,30,3600,0.022,0.165,0.38,0.1267,0.0,False,True
b2.2,same_wall_edits,20,30,3600,0.022,0.1,0.45,0.15,0.0,False,True
b2.2,same_wall_edits,1,30,21600,0.024,0.089,0.4,0.1333,0.0,False,True
b2.2,same_wall_edits,3,30,21600,0.022,0.085,0.4666666666666667,0.1556,0.0,False,True
b2.2,same_wall_edits,10,30,21600,0.024,0.11,0.44,0.1467,0.0,False,True
b2.2,same_wall_edits,20,30,21600,0.025,0.096,0.43,0.1433,0.0,False,True
b2.2,same_wall_edits,1,30,86400,0.026,0.13,0.8,0.2667,0.0,False,True
