exp_id,total_elements,affected_elements,op_id,regen_ms,tvc_ms,validation_ms,rollback,simulation,live
b2.1,10000,1,live_10000_1_0,0.003,0.155,0,False,False,True
b2.1,10000,1,live_10000_1_1,0.002,0.102,0,False,False,True
b2.1,10000,1,live_10000_1_2,0.001,0.135,0,False,False,True
b2.1,10000,1,live_10000_1_3,0.003,0.122,0,False,False,True
b2.1,10000,1,live_10000_1_4,0.002,0.099,0,False,False,True
b2.1,10000,1,live_10000_1_5,0.002,0.099,0,False,False,True
b2.1,10000,1,live_10000_1_6,0.002,0.096,0,False,False,True
b2.1,10000,1,live_10000_1_7,0.024,0.12,0,False,False,True
b2.1,10000,1,live_10000_1_8,0.001,0.125,0,False,False,True
b2.1,10000,1,live_10000_1_9,0.003,0.145,0,False,False,True
b2.1,10000,10,live_10000_10_0,0.002,0.106,0,False,False,True
b2.1,10000,10,live_10000_10_1,0.003,0.125,0,False,False,True
b2.1,10000,10,live_10000_10_2,0.003,0.096,0,False,False,True
b2.1,10000,10,live_10000_10_3,0.003,0.104,0,False,False,True
b2.1,10000,10,live_10000_10_4,0.003,0.103,0,False,False,True
b2.1,10000,10,live_10000_10_5,0.181,3.284,0,False,False,True
b2.1,10000,10,live_10000_10_6,0.002,0.106,0,False,False,True
b2.1,10000,10,live_10000_10_7,0.004,0.136,0,False,False,True
b2.1,10000,10,live_10000_10_8,0.002,0.104,0,False,False,True
b2.1,10000,10,live_10000_10_9,0.003,0.098,0,False,False,True
b2.1,10000,100,live_10000_100_0,0.008,0.108,0,False,False,True
b2.1,10000,100,live_10000_100_1,0.009,0.131,0,False,False,True
b2.1,10000,100,live_10000_100_2,0.011,0.159,0,False,False,True
b2.1,10000,100,live_10000_100_3,0.007,0.106,0,False,False,True
b2.1,10000,100,live_10000_100_4,0.009,0.102,0,False,False,True
b2.1,10000,100,live_10000_100_5,0.008,0.098,0,False,False,True
b2.1,10000,100,live_10000_100_6,0.008,0.098,0,False,False,True
b2.1,10000,100,live_10000_100_7,0.008,0.098,0,False,False,True
b2.1,10000,100,live_10000_100_8,0.007,0.103,0,False,False,True
b2.1,10000,100,live_10000_100_9,0.008,0.117,0,False,False,True
b2.1,10000,1000,live_10000_1000_0,0.082,0.258,0,False,False,True
b2.1,10000,1000,live_10000_1000_1,0.063,0.125,0,False,False,True
b2.1,10000,1000,live_10000_1000_2,0.058,0.115,0,False,False,True
