exp_id,scenario,concurrency,edit_rate,offline_duration,p50_latency_ms,p95_latency_ms,conflict_rate,override_rate,rollback_rate,simulation,live
b2.2,disjoint_edits,1,10,0,0.029,0.089,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,0,0.027,0.093,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,0,0.026,0.72,0.06,0.06,0.0,False,True
b2.2,disjoint_edits,20,10,0,0.024,0.178,0.04,0.04,0.0,False,True
b2.2,disjoint_edits,1,10,3600,0.037,0.106,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,3600,0.026,0.521,0.06666666666666667,0.0667,0.0,False,True
b2.2,disjoint_edits,10,10,3600,0.026,0.937,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,20,10,3600,0.026,0.205,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,1,10,21600,0.031,0.09,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,21600,0.025,0.226,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,21600,0.025,0.193,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,20,10,21600,0.024,0.166,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,1,10,86400,0.074,0.129,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,86400,0.027,0.172,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,86400,0.024,0.18,0.06,0.06,0.0,False,True
b2.2,disjoint_edits,20,10,86400,0.028,0.171,0.01,0.01,0.0,False,True
b2.2,disjoint_edits,1,30,0,0.025,0.092,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,0,0.033,0.114,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,30,0,0.024,0.218,0.08,0.0267,0.0,False,True
b2.2,disjoint_edits,20,30,0,0.025,0.155,0.05,0.0167,0.0,False,True
b2.2,disjoint_edits,1,30,3600,0.042,0.174,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,3600,0.025,0.147,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,30,3600,0.025,0.127,0.08,0.0267,0.0,False,True
b2.2,disjoint_edits,20,30,3600,0.027,0.124,0.04,0.0133,0.0,False,True
b2.2,disjoint_edits,1,30,21600,0.026,0.274,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,21600,0.024,0.208,0.13333333333333333,0.0444,0.0,False,True
b2.2,disjoint_edits,10,30,21600,0.039,0.365,0.02,0.0067,0.0,False,True
b2.2,disjoint_edits,20,30,21600,0.024,0.102,0.07,0.0233,0.0,False,True
b2.2,disjoint_edits,1,30,86400,0.025,0.143,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,86400,0.026,0.222,0.06666666666666667,0.0222,0.0,False,True
b2.2,disjoint_edits,10,30,86400,0.026,0.424,0.02,0.0067,0.0,False,True
b2.2,disjoint_edits,20,30,86400,0.024,0.106,0.05,0.0167,0.0,False,True
b2.2,same_wall_edits,1,10,0,0.024,0.087,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,3,10,0,0.027,0.242,0.13333333333333333,0.1333,0.0,False,True
