exp_id,total_elements,affected_elements,op_id,regen_ms,tvc_ms,validation_ms,rollback,simulation,live
b2.1,10000,1,live_10000_1_0,0.002,0.098,0,False,False,True
b2.1,10000,1,live_10000_1_1,0.003,0.083,0,False,False,True
b2.1,10000,1,live_10000_1_2,0.001,0.084,0,False,False,True
b2.1,10000,1,live_10000_1_3,0.001,0.073,0,False,False,True
b2.1,10000,1,live_10000_1_4,0.001,0.082,0,False,False,True
b2.1,10000,1,live_10000_1_5,0.001,0.069,0,False,False,True
b2.1,10000,1,live_10000_1_6,0.002,0.082,0,False,False,True
b2.1,10000,1,live_10000_1_7,0.003,0.087,0,False,False,True
b2.1,10000,1,live_10000_1_8,0.003,0.083,0,False,False,True
b2.1,10000,1,live_10000_1_9,0.002,0.08,0,False,False,True
b2.1,10000,10,live_10000_10_0,0.003,0.087,0,False,False,True
b2.1,10000,10,live_10000_10_1,0.004,0.095,0,False,False,True
b2.1,10000,10,live_10000_10_2,0.002,0.072,0,False,False,True
b2.1,10000,10,live_10000_10_3,0.003,0.13,0,False,False,True
b2.1,10000,10,live_10000_10_4,0.003,0.105,0,False,False,True
b2.1,10000,10,live_10000_10_5,0.003,0.071,0,False,False,True
b2.1,10000,10,live_10000_10_6,0.003,0.082,0,False,False,True
b2.1,10000,10,live_10000_10_7,0.003,0.078,0,False,False,True
b2.1,10000,10,live_10000_10_8,0.003,0.085,0,False,False,True
b2.1,10000,10,live_10000_10_9,0.001,0.086,0,False,False,True
b2.1,10000,100,live_10000_100_0,0.008,0.07,0,False,False,True
b2.1,10000,100,live_10000_100_1,0.008,0.087,0,False,False,True
b2.1,10000,100,live_10000_100_2,0.01,0.097,0,False,False,True
b2.1,10000,100,live_10000_100_3,0.008,0.076,0,False,False,True
b2.1,10000,100,live_10000_100_4,0.014,0.091,0,False,False,True
b2.1,10000,100,live_10000_100_5,0.007,0.072,0,False,False,True
b2.1,10000,100,live_10000_100_6,0.008,0.08,0,False,False,True
b2.1,10000,100,live_10000_100_7,0.026,0.072,0,False,False,True
b2.1,10000,100,live_10000_100_8,0.008,0.087,0,False,False,True
b2.1,10000,100,live_10000_100_9,0.011,0.075,0,False,False,True
b2.1,10000,1000,live_10000_1000_0,0.062,0.087,0,False,False,True
b2.1,10000,1000,live_10000_1000_1,0.072,0.109,0,False,False,True
b2.1,10000,1000,live_10000_1000_2,0.069,0.091,0,False,False,True
b2.1,10000,1000,live_10000_1000_3,0.082,0.227,0,False,False,True
b2.1,10000,1000,live_10000_1000_4,0.068,0.09,0,False,False,True
b2.1,10000,1000,live_10000_1000_5,0.068,0.084,0,False,False,True
b2.1,10000,1000,live_10000_1000_6,0.068,0.08,0,False,False,True
b2.1,10000,1000,live_10000_1000_7,0.063,0.131,0,False,False,True
b2.1,10000,1000,live_10000_1000_8,0.069,0.118,0,False,False,True
b2.1,10000,1000,live_10000_1000_9,0.069,0.09,0,False,False,True
b2.1,10000,5000,live_10000_5000_0,0.311,0.115,0,False,False,True
b2.1,10000,5000,live_10000_5000_1,0.309,0.107,0,False,False,True
b2.1,10000,5000,live_10000_5000_2,0.324,0.107,0,False,False,True
b2.1,10000,5000,live_10000_5000_3,0.336,0.159,0,False,False,True
b2.1,10000,5000,live_10000_5000_4,0.355,0.123,0,False,False,True
b2.1,10000,5000,live_10000_5000_5,0.374,0.14,0,False,False,True
b2.1,10000,5000,live_10000_5000_6,0.324,0.125,0,False,False,True
b2.1,10000,5000,live_10000_5000_7,0.784,0.327,0,False,False,True
b2.1,10000,5000,live_10000_5000_8,0.31,0.123,0,False,False,True
b2.1,10000,5000,live_10000_5000_9,0.312,0.119,0,False,False,True
b2.1,100000,1,fallback_100000_1_0,1.5,2.1,0.6,False,True,False
b2.1,100000,1,fallback_100000_1_1,1.5,2.1,0.6,False,True,False
b2.1,100000,1,fallback_100000_1_2,1.5,2.1,0.6,False,True,False
b2.1,100000,1,fallback_100000_1_3,1.5,2.1,0.6,False,True,False
b2.1,100000,1,fallback_100000_1_4,1.5,2.1,0.6,False,True,False
b2.1,100000,1,fallback_100000_1_5,1.5,2.1,0.6,False,True,False
b2.1,100000,1,fallback_100000_1_6,1.5,2.1,0.6,False,True,False
b2.1,100000,1,fallback_100000_1_7,1.5,2.1,0.6,False,True,False
b2.1,100000,1,fallback_100000_1_8,1.5,2.1,0.6,False,True,False
b2.1,100000,1,fallback_100000_1_9,1.5,2.1,0.6,False,True,False
b2.1,100000,10,fallback_100000_10_0,3.36,4.7,1.34,False,True,False
b2.1,100000,10,fallback_100000_10_1,3.36,4.7,1.34,False,True,False
b2.1,100000,10,fallback_100000_10_2,3.36,4.7,1.34,False,True,False
b2.1,100000,10,fallback_100000_10_3,3.36,4.7,1.34,False,True,False
b2.1,100000,10,fallback_100000_10_4,3.36,4.7,1.34,False,True,False
b2.1,100000,10,fallback_100000_10_5,3.36,4.7,1.34,False,True,False
b2.1,100000,10,fallback_100000_10_6,3.36,4.7,1.34,False,True,False
b2.1,100000,10,fallback_100000_10_7,3.36,4.7,1.34,False,True,False
b2.1,100000,10,fallback_100000_10_8,3.36,4.7,1.34,False,True,False
b2.1,100000,10,fallback_100000_10_9,3.36,4.7,1.34,False,True,False
b2.1,100000,100,fallback_100000_100_0,7.52,10.52,3.01,False,True,False
b2.1,100000,100,fallback_100000_100_1,7.52,10.52,3.01,False,True,False
b2.1,100000,100,fallback_100000_100_2,7.52,10.52,3.01,False,True,False
b2.1,100000,100,fallback_100000_100_3,7.52,10.52,3.01,False,True,False
b2.1,100000,100,fallback_100000_100_4,7.52,10.52,3.01,False,True,False
b2.1,100000,100,fallback_100000_100_5,7.52,10.52,3.01,False,True,False
b2.1,100000,100,fallback_100000_100_6,7.52,10.52,3.01,False,True,False
b2.1,100000,100,fallback_100000_100_7,7.52,10.52,3.01,False,True,False
b2.1,100000,100,fallback_100000_100_8,7.52,10.52,3.01,False,True,False
b2.1,100000,100,fallback_100000_100_9,7.52,10.52,3.01,False,True,False
b2.1,100000,1000,fallback_100000_1000_0,16.83,23.56,6.73,False,True,False
b2.1,100000,1000,fallback_100000_1000_1,16.83,23.56,6.73,False,True,False
b2.1,100000,1000,fallback_100000_1000_2,16.83,23.56,6.73,False,True,False
b2.1,100000,1000,fallback_100000_1000_3,16.83,23.56,6.73,False,True,False
b2.1,100000,1000,fallback_100000_1000_4,16.83,23.56,6.73,False,True,False
b2.1,100000,1000,fallback_100000_1000_5,16.83,23.56,6.73,False,True,False
b2.1,100000,1000,fallback_100000_1000_6,16.83,23.56,6.73,False,True,False
b2.1,100000,1000,fallback_100000_1000_7,16.83,23.56,6.73,False,True,False
b2.1,100000,1000,fallback_100000_1000_8,16.83,23.56,6.73,False,True,False
b2.1,100000,1000,fallback_100000_1000_9,16.83,23.56,6.73,False,True,False
b2.1,100000,5000,fallback_100000_5000_0,29.56,41.39,11.82,False,True,False
b2.1,100000,5000,fallback_100000_5000_1,29.56,41.39,11.82,False,True,False
b2.1,100000,5000,fallback_100000_5000_2,29.56,41.39,11.82,False,True,False
b2.1,100000,5000,fallback_100000_5000_3,29.56,41.39,11.82,False,True,False
b2.1,100000,5000,fallback_100000_5000_4,29.56,41.39,11.82,False,True,False
b2.1,100000,5000,fallback_100000_5000_5,29.56,41.39,11.82,False,True,False
b2.1,100000,5000,fallback_100000_5000_6,29.56,41.39,11.82,False,True,False
b2.1,100000,5000,fallback_100000_5000_7,29.56,41.39,11.82,False,True,False
b2.1,100000,5000,fallback_100000_5000_8,29.56,41.39,11.82,False,True,False
b2.1,100000,5000,fallback_100000_5000_9,29.56,41.39,11.82,False,True,False
