exp_id,total_elements,affected_elements,op_id,regen_ms,tvc_ms,validation_ms,rollback,simulation
b2.1,10000,1,sim_10000_1_0,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_1,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_2,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_3,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_4,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_5,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_6,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_7,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_8,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_9,1.05,1.47,0.42,False,True
b2.1,10000,10,sim_10000_10_0,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_1,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_2,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_3,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_4,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_5,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_6,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_7,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_8,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_9,2.35,3.29,0.94,False,True
b2.1,10000,100,sim_10000_100_0,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_1,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_2,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_3,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_4,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_5,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_6,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_7,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_8,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_9,5.26,7.37,2.1,False,True
