exp_id,scenario,concurrency,edit_rate,offline_duration,p50_latency_ms,p95_latency_ms,conflict_rate,override_rate,rollback_rate,simulation,live
b2.2,disjoint_edits,1,10,0,0.036,0.094,0.2,0.2,0.0,False,True
b2.2,disjoint_edits,3,10,0,0.044,0.146,0.06666666666666667,0.0667,0.0,False,True
b2.2,disjoint_edits,10,10,0,0.025,0.201,0.04,0.04,0.0,False,True
b2.2,disjoint_edits,20,10,0,0.025,1.371,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,1,10,3600,0.025,0.091,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,3600,0.025,0.187,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,3600,0.034,0.257,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,20,10,3600,0.036,0.224,0.03,0.03,0.0,False,True
b2.2,disjoint_edits,1,10,21600,0.023,0.102,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,21600,0.024,0.083,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,21600,0.024,0.174,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,20,10,21600,0.024,0.142,0.04,0.04,0.0,False,True
b2.2,disjoint_edits,1,10,86400,0.028,0.083,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,86400,0.028,1.657,0.13333333333333333,0.1333,0.0,False,True
b2.2,disjoint_edits,10,10,86400,0.023,0.087,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,20,10,86400,0.024,0.085,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,1,30,0,0.024,0.108,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,0,0.023,0.086,0.13333333333333333,0.0444,0.0,False,True
b2.2,disjoint_edits,10,30,0,0.022,0.088,0.06,0.02,0.0,False,True
b2.2,disjoint_edits,20,30,0,0.022,0.093,0.07,0.0233,0.0,False,True
b2.2,disjoint_edits,1,30,3600,0.073,0.259,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,3600,0.025,1.219,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,30,3600,0.023,0.112,0.04,0.0133,0.0,False,True
b2.2,disjoint_edits,20,30,3600,0.022,0.085,0.09,0.03,0.0,False,True
b2.2,disjoint_edits,1,30,21600,0.024,0.088,0.2,0.0667,0.0,False,True
b2.2,disjoint_edits,3,30,21600,0.036,0.188,0.06666666666666667,0.0222,0.0,False,True
b2.2,disjoint_edits,10,30,21600,0.023,0.121,0.02,0.0067,0.0,False,True
b2.2,disjoint_edits,20,30,21600,0.023,0.136,0.09,0.03,0.0,False,True
b2.2,disjoint_edits,1,30,86400,0.022,0.105,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,86400,0.026,0.089,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,30,86400,0.023,0.134,0.02,0.0067,0.0,False,True
b2.2,disjoint_edits,20,30,86400,0.023,0.16,0.1,0.0333,0.0,False,True
b2.2,same_wall_edits,1,10,0,0.093,0.098,0.0,0.0,0.0,False,True
b2.2,same_wall_edits,3,10,0,0.025,0.222,0.13333333333333333,0.1333,0.0,False,True
b2.2,same_wall_edits,10,10,0,0.024,0.228,0.1,0.1,0.0,False,True
b2.2,same_wall_edits,20,10,0,0.026,0.184,0.15,0.15,0.0,False,True
b2.2,same_wall_edits,1,10,3600,0.031,0.099,0.4,0.4,0.0,False,True
b2.2,same_wall_edits,3,10,3600,0.027,0.092,0.0,0.0,0.0,False,True
b2.2,same_wall_edits,10,10,3600,0.026,0.169,0.14,0.14,0.0,False,True
b2.2,same_wall_edits,20,10,3600,0.027,0.211,0.11,0.11,0.0,False,True
b2.2,same_wall_edits,1,10,21600,0.034,0.111,0.0,0.0,0.0,False,True
b2.2,same_wall_edits,3,10,21600,0.028,0.259,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,10,10,21600,0.024,0.123,0.12,0.12,0.0,False,True
b2.2,same_wall_edits,20,10,21600,0.025,0.089,0.22,0.22,0.0,False,True
b2.2,same_wall_edits,1,10,86400,0.045,0.09,0.0,0.0,0.0,False,True
b2.2,same_wall_edits,3,10,86400,0.023,0.093,0.13333333333333333,0.1333,0.0,False,True
b2.2,same_wall_edits,10,10,86400,0.023,0.095,0.18,0.18,0.0,False,True
b2.2,same_wall_edits,20,10,86400,0.024,0.103,0.13,0.13,0.0,False,True
b2.2,same_wall_edits,1,30,0,0.024,0.089,0.2,0.0667,0.0,False,True
b2.2,same_wall_edits,3,30,0,0.03,0.278,0.7333333333333333,0.2444,0.0,False,True
b2.2,same_wall_edits,10,30,0,0.026,0.109,0.64,0.2133,0.0,False,True
b2.2,same_wall_edits,20,30,0,0.023,0.072,0.48,0.16,0.0,False,True
b2.2,same_wall_edits,1,30,3600,0.022,0.093,0.6,0.2,0.0,False,True
b2.2,same_wall_edits,3,30,3600,0.023,0.091,0.3333333333333333,0.1111,0.0,False,True
b2.2,same_wall_edits,10,30,3600,0.024,0.138,0.54,0.18,0.0,False,True
b2.2,same_wall_edits,20,30,3600,0.022,0.218,0.5,0.1667,0.0,False,True
b2.2,same_wall_edits,1,30,21600,0.024,0.087,0.2,0.0667,0.0,False,True
b2.2,same_wall_edits,3,30,21600,0.022,0.117,0.4,0.1333,0.0,False,True
b2.2,same_wall_edits,10,30,21600,0.024,0.138,0.4,0.1333,0.0,False,True
b2.2,same_wall_edits,20,30,21600,0.027,0.224,0.43,0.1433,0.0,False,True
b2.2,same_wall_edits,1,30,86400,0.024,0.091,0.8,0.2667,0.0,False,True
b2.2,same_wall_edits,3,30,86400,0.023,0.197,0.6666666666666666,0.2222,0.0,False,True
b2.2,same_wall_edits,10,30,86400,0.043,0.117,0.52,0.1733,0.0,False,True
b2.2,same_wall_edits,20,30,86400,0.023,0.088,0.4,0.1333,0.0,False,True
b2.2,host_collision,1,10,0,0.024,0.089,0.2,0.2,0.0,False,True
b2.2,host_collision,3,10,0,0.024,0.256,0.4666666666666667,0.4667,0.0,False,True
b2.2,host_collision,10,10,0,0.025,0.2,0.32,0.32,0.0,False,True
b2.2,host_collision,20,10,0,0.025,0.163,0.2,0.2,0.0,False,True
b2.2,host_collision,1,10,3600,0.028,0.093,0.2,0.2,0.0,False,True
b2.2,host_collision,3,10,3600,0.026,0.092,0.13333333333333333,0.1333,0.0,False,True
b2.2,host_collision,10,10,3600,0.028,0.159,0.28,0.28,0.0,False,True
b2.2,host_collision,20,10,3600,0.023,0.153,0.25,0.25,0.0,False,True
b2.2,host_collision,1,10,21600,0.029,0.097,0.0,0.0,0.0,False,True
b2.2,host_collision,3,10,21600,0.024,0.218,0.26666666666666666,0.2667,0.0,False,True
b2.2,host_collision,10,10,21600,0.029,1.273,0.24,0.24,0.0,False,True
