exp_id,scenario,concurrency,edit_rate,offline_duration,p50_latency_ms,p95_latency_ms,conflict_rate,override_rate,rollback_rate,simulation,live
b2.2,disjoint_edits,1,10,0,0.049,0.13,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,0,0.027,0.091,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,0,0.025,0.121,0.04,0.04,0.0,False,True
b2.2,disjoint_edits,20,10,0,0.024,0.974,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,1,10,3600,0.026,0.13,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,3600,0.049,0.169,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,3600,0.025,0.178,0.04,0.04,0.0,False,True
b2.2,disjoint_edits,20,10,3600,0.025,0.116,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,1,10,21600,0.063,0.161,0.2,0.2,0.0,False,True
b2.2,disjoint_edits,3,10,21600,0.027,0.197,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,21600,0.025,0.125,0.04,0.04,0.0,False,True
b2.2,disjoint_edits,20,10,21600,0.025,0.791,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,1,10,86400,0.027,0.092,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,86400,0.027,0.089,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,86400,0.04,0.169,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,20,10,86400,0.024,0.137,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,1,30,0,0.026,0.149,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,0,0.023,0.685,0.06666666666666667,0.0222,0.0,False,True
b2.2,disjoint_edits,10,30,0,0.023,0.122,0.04,0.0133,0.0,False,True
b2.2,disjoint_edits,20,30,0,0.024,0.099,0.06,0.02,0.0,False,True
b2.2,disjoint_edits,1,30,3600,0.026,0.095,0.2,0.0667,0.0,False,True
b2.2,disjoint_edits,3,30,3600,0.025,0.092,0.06666666666666667,0.0222,0.0,False,True
b2.2,disjoint_edits,10,30,3600,0.024,0.083,0.14,0.0467,0.0,False,True
b2.2,disjoint_edits,20,30,3600,0.03,0.116,0.07,0.0233,0.0,False,True
b2.2,disjoint_edits,1,30,21600,0.024,0.097,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,21600,0.025,0.25,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,30,21600,0.025,0.091,0.02,0.0067,0.0,False,True
b2.2,disjoint_edits,20,30,21600,0.023,0.07,0.05,0.0167,0.0,False,True
b2.2,disjoint_edits,1,30,86400,0.024,0.092,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,86400,0.025,0.152,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,30,86400,0.025,0.559,0.04,0.0133,0.0,False,True
b2.2,disjoint_edits,20,30,86400,0.024,0.1,0.06,0.02,0.0,False,True
b2.2,same_wall_edits,1,10,0,0.03,0.087,0.2,0.2,0.0,False,True
