exp_id,total_elements,affected_elements,op_id,regen_ms,tvc_ms,validation_ms,rollback,simulation,live
b2.1,10000,1,live_10000_1_0,0.003,0.127,0,False,False,True
b2.1,10000,1,live_10000_1_1,0.004,0.116,0,False,False,True
b2.1,10000,1,live_10000_1_2,0.005,0.26,0,False,False,True
b2.1,10000,1,live_10000_1_3,0.001,0.13,0,False,False,True
b2.1,10000,1,live_10000_1_4,0.004,0.117,0,False,False,True
b2.1,10000,1,live_10000_1_5,0.003,0.178,0,False,False,True
b2.1,10000,1,live_10000_1_6,0.001,0.173,0,False,False,True
b2.1,10000,1,live_10000_1_7,0.002,0.203,0,False,False,True
b2.1,10000,1,live_10000_1_8,0.001,0.115,0,False,False,True
b2.1,10000,1,live_10000_1_9,0.001,0.11,0,False,False,True
b2.1,10000,10,live_10000_10_0,0.003,0.209,0,False,False,True
b2.1,10000,10,live_10000_10_1,0.002,0.122,0,False,False,True
b2.1,10000,10,live_10000_10_2,0.002,0.116,0,False,False,True
b2.1,10000,10,live_10000_10_3,0.002,0.118,0,False,False,True
b2.1,10000,10,live_10000_10_4,0.002,0.112,0,False,False,True
b2.1,10000,10,live_10000_10_5,0.001,0.113,0,False,False,True
b2.1,10000,10,live_10000_10_6,0.002,0.114,0,False,False,True
b2.1,10000,10,live_10000_10_7,0.002,0.119,0,False,False,True
b2.1,10000,10,live_10000_10_8,0.002,0.107,0,False,False,True
b2.1,10000,10,live_10000_10_9,0.002,0.11,0,False,False,True
b2.1,10000,100,live_10000_100_0,0.007,0.137,0,False,False,True
b2.1,10000,100,live_10000_100_1,0.008,0.111,0,False,False,True
b2.1,10000,100,live_10000_100_2,0.007,0.113,0,False,False,True
b2.1,10000,100,live_10000_100_3,0.007,0.125,0,False,False,True
b2.1,10000,100,live_10000_100_4,0.007,0.16,0,False,False,True
b2.1,10000,100,live_10000_100_5,0.007,0.155,0,False,False,True
b2.1,10000,100,live_10000_100_6,0.007,0.151,0,False,False,True
b2.1,10000,100,live_10000_100_7,0.008,0.116,0,False,False,True
b2.1,10000,100,live_10000_100_8,0.01,0.261,0,False,False,True
b2.1,10000,100,live_10000_100_9,0.007,0.129,0,False,False,True
b2.1,10000,1000,live_10000_1000_0,0.076,0.166,0,False,False,True
b2.1,10000,1000,live_10000_1000_1,0.063,0.122,0,False,False,True
b2.1,10000,1000,live_10000_1000_2,0.067,0.117,0,False,False,True
b2.1,10000,1000,live_10000_1000_3,0.067,0.148,0,False,False,True
b2.1,10000,1000,live_10000_1000_4,0.078,0.213,0,False,False,True
b2.1,10000,1000,live_10000_1000_5,0.061,0.116,0,False,False,True
b2.1,10000,1000,live_10000_1000_6,0.06,0.151,0,False,False,True
b2.1,10000,1000,live_10000_1000_7,0.061,0.142,0,False,False,True
b2.1,10000,1000,live_10000_1000_8,0.074,0.142,0,False,False,True
b2.1,10000,1000,live_10000_1000_9,0.063,0.163,0,False,False,True
b2.1,10000,5000,live_10000_5000_0,0.323,0.164,0,False,False,True
b2.1,10000,5000,live_10000_5000_1,0.304,0.175,0,False,False,True
b2.1,10000,5000,live_10000_5000_2,0.327,0.17,0,False,False,True
b2.1,10000,5000,live_10000_5000_3,0.326,0.163,0,False,False,True
b2.1,10000,5000,live_10000_5000_4,0.305,0.174,0,False,False,True
b2.1,10000,5000,live_10000_5000_5,0.302,0.164,0,False,False,True
b2.1,10000,5000,live_10000_5000_6,0.302,0.157,0,False,False,True
b2.1,10000,5000,live_10000_5000_7,0.388,0.161,0,False,False,True
b2.1,10000,5000,live_10000_5000_8,0.336,0.179,0,False,False,True
b2.1,10000,5000,live_10000_5000_9,0.32,0.207,0,False,False,True
b2.1,100000,1,live_100000_1_0,0.001,1.285,0,False,False,True
b2.1,100000,1,live_100000_1_1,0.001,1.228,0,False,False,True
b2.1,100000,1,live_100000_1_2,0.001,1.291,0,False,False,True
b2.1,100000,1,live_100000_1_3,0.001,1.47,0,False,False,True
b2.1,100000,1,live_100000_1_4,0.003,1.683,0,False,False,True
b2.1,100000,1,live_100000_1_5,0.004,1.327,0,False,False,True
b2.1,100000,1,live_100000_1_6,0.003,1.235,0,False,False,True
b2.1,100000,1,live_100000_1_7,0.001,1.498,0,False,False,True
b2.1,100000,1,live_100000_1_8,0.004,2.44,0,False,False,True
b2.1,100000,1,live_100000_1_9,0.004,1.17,0,False,False,True
b2.1,100000,10,live_100000_10_0,0.005,1.211,0,False,False,True
b2.1,100000,10,live_100000_10_1,0.006,1.964,0,False,False,True
b2.1,100000,10,live_100000_10_2,0.003,1.189,0,False,False,True
b2.1,100000,10,live_100000_10_3,0.005,1.188,0,False,False,True
b2.1,100000,10,live_100000_10_4,0.003,1.167,0,False,False,True
b2.1,100000,10,live_100000_10_5,0.002,1.185,0,False,False,True
b2.1,100000,10,live_100000_10_6,0.002,1.922,0,False,False,True
b2.1,100000,10,live_100000_10_7,0.003,2.002,0,False,False,True
b2.1,100000,10,live_100000_10_8,0.003,1.149,0,False,False,True
b2.1,100000,10,live_100000_10_9,0.002,1.253,0,False,False,True
b2.1,100000,100,live_100000_100_0,0.008,1.098,0,False,False,True
b2.1,100000,100,live_100000_100_1,0.007,1.215,0,False,False,True
b2.1,100000,100,live_100000_100_2,0.009,1.195,0,False,False,True
b2.1,100000,100,live_100000_100_3,0.008,1.236,0,False,False,True
b2.1,100000,100,live_100000_100_4,0.008,1.215,0,False,False,True
b2.1,100000,100,live_100000_100_5,0.007,1.161,0,False,False,True
b2.1,100000,100,live_100000_100_6,0.012,1.153,0,False,False,True
b2.1,100000,100,live_100000_100_7,0.013,1.049,0,False,False,True
b2.1,100000,100,live_100000_100_8,0.008,1.109,0,False,False,True
b2.1,100000,100,live_100000_100_9,0.007,1.261,0,False,False,True
b2.1,100000,1000,live_100000_1000_0,0.059,1.175,0,False,False,True
b2.1,100000,1000,live_100000_1000_1,0.059,1.001,0,False,False,True
b2.1,100000,1000,live_100000_1000_2,0.064,1.144,0,False,False,True
b2.1,100000,1000,live_100000_1000_3,0.065,1.104,0,False,False,True
b2.1,100000,1000,live_100000_1000_4,0.066,2.053,0,False,False,True
b2.1,100000,1000,live_100000_1000_5,0.064,1.277,0,False,False,True
b2.1,100000,1000,live_100000_1000_6,0.063,1.176,0,False,False,True
b2.1,100000,1000,live_100000_1000_7,0.064,1.116,0,False,False,True
b2.1,100000,1000,live_100000_1000_8,0.074,1.075,0,False,False,True
b2.1,100000,1000,live_100000_1000_9,0.064,1.227,0,False,False,True
b2.1,100000,5000,live_100000_5000_0,0.358,1.941,0,False,False,True
b2.1,100000,5000,live_100000_5000_1,0.312,1.198,0,False,False,True
b2.1,100000,5000,live_100000_5000_2,0.367,1.347,0,False,False,True
b2.1,100000,5000,live_100000_5000_3,0.313,1.165,0,False,False,True
b2.1,100000,5000,live_100000_5000_4,0.328,1.168,0,False,False,True
b2.1,100000,5000,live_100000_5000_5,0.449,1.274,0,False,False,True
b2.1,100000,5000,live_100000_5000_6,0.318,1.141,0,False,False,True
b2.1,100000,5000,live_100000_5000_7,0.309,1.078,0,False,False,True
b2.1,100000,5000,live_100000_5000_8,0.316,1.12,0,False,False,True
b2.1,100000,5000,live_100000_5000_9,0.313,1.676,0,False,False,True
