exp_id,total_elements,affected_elements,op_id,regen_ms,tvc_ms,validation_ms,rollback,simulation,live
b2.1,10000,1,live_10000_1_0,0.003,0.109,0,False,False,True
b2.1,10000,1,live_10000_1_1,0.004,0.121,0,False,False,True
b2.1,10000,1,live_10000_1_2,0.005,0.115,0,False,False,True
b2.1,10000,1,live_10000_1_3,0.003,0.112,0,False,False,True
b2.1,10000,1,live_10000_1_4,0.002,0.112,0,False,False,True
b2.1,10000,1,live_10000_1_5,0.003,0.141,0,False,False,True
b2.1,10000,1,live_10000_1_6,0.001,0.207,0,False,False,True
b2.1,10000,1,live_10000_1_7,0.004,0.283,0,False,False,True
b2.1,10000,1,live_10000_1_8,0.001,0.111,0,False,False,True
b2.1,10000,1,live_10000_1_9,0.002,0.141,0,False,False,True
b2.1,10000,10,live_10000_10_0,0.004,0.269,0,False,False,True
b2.1,10000,10,live_10000_10_1,0.002,0.114,0,False,False,True
b2.1,10000,10,live_10000_10_2,0.001,0.171,0,False,False,True
b2.1,10000,10,live_10000_10_3,0.002,0.115,0,False,False,True
b2.1,10000,10,live_10000_10_4,0.003,0.245,0,False,False,True
b2.1,10000,10,live_10000_10_5,0.001,0.168,0,False,False,True
b2.1,10000,10,live_10000_10_6,0.001,0.181,0,False,False,True
b2.1,10000,10,live_10000_10_7,0.002,0.161,0,False,False,True
b2.1,10000,10,live_10000_10_8,0.002,0.117,0,False,False,True
b2.1,10000,10,live_10000_10_9,0.002,0.103,0,False,False,True
b2.1,10000,100,live_10000_100_0,0.011,0.26,0,False,False,True
b2.1,10000,100,live_10000_100_1,0.017,0.135,0,False,False,True
b2.1,10000,100,live_10000_100_2,0.01,0.171,0,False,False,True
b2.1,10000,100,live_10000_100_3,0.009,0.155,0,False,False,True
b2.1,10000,100,live_10000_100_4,0.014,0.189,0,False,False,True
b2.1,10000,100,live_10000_100_5,0.009,0.107,0,False,False,True
b2.1,10000,100,live_10000_100_6,0.008,0.125,0,False,False,True
b2.1,10000,100,live_10000_100_7,0.008,0.124,0,False,False,True
b2.1,10000,100,live_10000_100_8,0.029,0.117,0,False,False,True
b2.1,10000,100,live_10000_100_9,0.008,0.112,0,False,False,True
b2.1,10000,1000,live_10000_1000_0,0.068,0.124,0,False,False,True
b2.1,10000,1000,live_10000_1000_1,0.067,0.118,0,False,False,True
b2.1,10000,1000,live_10000_1000_2,0.068,0.176,0,False,False,True
b2.1,10000,1000,live_10000_1000_3,0.068,0.203,0,False,False,True
b2.1,10000,1000,live_10000_1000_4,0.072,0.293,0,False,False,True
b2.1,10000,1000,live_10000_1000_5,0.08,0.199,0,False,False,True
b2.1,10000,1000,live_10000_1000_6,0.068,0.128,0,False,False,True
b2.1,10000,1000,live_10000_1000_7,0.068,0.127,0,False,False,True
b2.1,10000,1000,live_10000_1000_8,0.068,0.123,0,False,False,True
b2.1,10000,1000,live_10000_1000_9,0.082,0.153,0,False,False,True
b2.1,10000,5000,live_10000_5000_0,0.349,0.166,0,False,False,True
b2.1,10000,5000,live_10000_5000_1,0.335,0.165,0,False,False,True
b2.1,10000,5000,live_10000_5000_2,0.336,0.21,0,False,False,True
b2.1,10000,5000,live_10000_5000_3,0.333,0.223,0,False,False,True
b2.1,10000,5000,live_10000_5000_4,0.341,0.253,0,False,False,True
b2.1,10000,5000,live_10000_5000_5,0.334,0.156,0,False,False,True
b2.1,10000,5000,live_10000_5000_6,0.386,0.166,0,False,False,True
b2.1,10000,5000,live_10000_5000_7,0.352,0.246,0,False,False,True
b2.1,10000,5000,live_10000_5000_8,0.333,0.165,0,False,False,True
b2.1,10000,5000,live_10000_5000_9,0.374,0.17,0,False,False,True
b2.1,100000,1,live_100000_1_0,0.002,2.269,0,False,False,True
b2.1,100000,1,live_100000_1_1,0.001,1.196,0,False,False,True
b2.1,100000,1,live_100000_1_2,0.003,2.122,0,False,False,True
