exp_id,total_elements,affected_elements,op_id,regen_ms,tvc_ms,validation_ms,rollback,simulation,live
b2.1,10000,1,live_10000_1_0,0.005,0.127,0,False,False,True
b2.1,10000,1,live_10000_1_1,0.003,0.112,0,False,False,True
b2.1,10000,1,live_10000_1_2,0.001,0.177,0,False,False,True
b2.1,10000,1,live_10000_1_3,0.002,0.112,0,False,False,True
b2.1,10000,1,live_10000_1_4,0.002,0.111,0,False,False,True
b2.1,10000,1,live_10000_1_5,0.004,0.113,0,False,False,True
b2.1,10000,1,live_10000_1_6,0.002,0.113,0,False,False,True
b2.1,10000,1,live_10000_1_7,0.004,0.115,0,False,False,True
b2.1,10000,1,live_10000_1_8,0.003,0.106,0,False,False,True
b2.1,10000,1,live_10000_1_9,0.001,0.113,0,False,False,True
b2.1,10000,10,live_10000_10_0,0.002,0.176,0,False,False,True
b2.1,10000,10,live_10000_10_1,0.002,0.193,0,False,False,True
b2.1,10000,10,live_10000_10_2,0.001,0.121,0,False,False,True
b2.1,10000,10,live_10000_10_3,0.006,0.113,0,False,False,True
b2.1,10000,10,live_10000_10_4,0.003,0.132,0,False,False,True
b2.1,10000,10,live_10000_10_5,0.003,0.117,0,False,False,True
b2.1,10000,10,live_10000_10_6,0.002,0.248,0,False,False,True
b2.1,10000,10,live_10000_10_7,0.003,0.108,0,False,False,True
b2.1,10000,10,live_10000_10_8,0.004,0.154,0,False,False,True
b2.1,10000,10,live_10000_10_9,0.003,0.119,0,False,False,True
b2.1,10000,100,live_10000_100_0,0.009,0.176,0,False,False,True
b2.1,10000,100,live_10000_100_1,0.009,0.17,0,False,False,True
b2.1,10000,100,live_10000_100_2,0.011,0.128,0,False,False,True
b2.1,10000,100,live_10000_100_3,0.008,0.111,0,False,False,True
b2.1,10000,100,live_10000_100_4,0.009,0.119,0,False,False,True
b2.1,10000,100,live_10000_100_5,0.009,0.117,0,False,False,True
b2.1,10000,100,live_10000_100_6,0.01,0.127,0,False,False,True
b2.1,10000,100,live_10000_100_7,0.008,0.117,0,False,False,True
b2.1,10000,100,live_10000_100_8,0.008,0.175,0,False,False,True
b2.1,10000,100,live_10000_100_9,0.009,0.155,0,False,False,True
b2.1,10000,1000,live_10000_1000_0,0.067,0.12,0,False,False,True
b2.1,10000,1000,live_10000_1000_1,0.067,0.158,0,False,False,True
b2.1,10000,1000,live_10000_1000_2,0.071,0.12,0,False,False,True
b2.1,10000,1000,live_10000_1000_3,0.096,0.281,0,False,False,True
b2.1,10000,1000,live_10000_1000_4,0.071,0.13,0,False,False,True
